Metric Label,Unit,Metric Ref,Components,Terms,Complexity,Definition,Metric Expression,Periods,Dims,Business Model(s),Buying Model(s),Set(s),Theme,Source System(s),Owning Team(s),Watching Team(s)
New MRR,$,NewMRR,,MRR; New Customers,Atomic,The sum of MRR booked from New Customers in the period.,,Month,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Financials,Revenue,Billing & Invoicing; CRM; ERP,Sales; Marketing,Finance; Marketing
Total MRR,$,TotMRR,TotMRR; NetMRR,MRR,Composite,The sum of MRR as of the beginning of the period.,{TotMRRₜ₋₁}+{NetMRRₜ},Month,[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Financials,Revenue,Billing & Invoicing; ERP,Finance,Sales; Marketing; Customer Success
Net MRR,$,NetMRR,NewMRR; ExpMRR; CtrctnMRR; ChurnMRR,,Composite,The delta in Total MRR between the prior period and the current one.,{NewMRRₜ} + {ExpMRRₜ} - {CtrctnMRRₜ} - {ChurnMRRₜ},Month,,B2B SaaS,Enterprise; Hybrid,Financials,Revenue,Billing & Invoicing; ERP,Finance,Sales; Marketing; Customer Success
Average Revenue Per Account,$,ARPA,TotMRR; TotCust,,Composite,The ratio of Total MRR against Total Customers.,{TotMRRₜ} / {TotCustₜ},Month,[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Financials,Revenue,Billing & Invoicing; CRM; ERP,Finance,Sales
Net MRR per Customer,$,NetMRRPerCust,NetMRR; TotCust,,Composite,The ratio of Net MRR against Total Customers.,{NetMRRₜ} / {TotCustₜ},Month,[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Financials,Revenue,Billing & Invoicing; ERP; CRM,Finance,Sales
MRR Per New Customer,$,MRRPerNewCust,NewMRR; NewCust,,Composite,The ratio of New Recurring Revenue against New Customers.,{NewMRRₜ} / {NewCustₜ},Month; Quarter,[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Financials,Revenue,Billing & Invoicing; CRM; ERP,Finance,Sales
New Customer Share of MRR,$,NewCustShareMRR,NewMRR; TotMRR,,Composite,The ratio of New MRR against Total MRR.,{NewMRRₜ} / {TotMRRₜ},Month,[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Financials,Revenue,Billing & Invoicing; CRM; ERP,Sales,Marketing
Retained MRR,$,RetainMRR,TotMRR; CtrctnMRR; ChurnMRR,MRR; Customers,Composite,The sum of MRR carried over by Customers from the prior period to the current period.,{TotMRRₜ₋₁} - {CtrctnMRRₜ} - {ChurnMRRₜ},Month,[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Revenue; Retention Initiatives,Billing & Invoicing; ERP,Customer Success,Finance
Gross Revenue Churn,$,GrossRevChurn,CtrctnMRR; ChurnMRR,,Composite,The amount of Total MRR that has been lost to Churned MRR and Contraction MRR in the period.,{CtrctnMRRₜ} + {ChurnMRRₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Revenue; Churn & Attrition,Billing & Invoicing; ERP; CRM,Customer Success,Finance
Net Revenue Churn,$,NetRevChurn,ChurnMRR; CtrctnMRR; ExpMRR,,Composite,"The amount of Total MRR that has been lost to Churned MRR and Contraction MRR, net of the revenue gained through Expansion MRR in the period.",{ChurnMRRₜ} + {CtrctnMRRₜ} - {ExpMRRₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Revenue; Churn & Attrition,Billing & Invoicing; ERP; CRM,Customer Success,Finance
Revenue Quick Ratio,r,RevQuickRatio,NewMRR; ExpMRR; ChurnMRR; CtrctnMRR,,Composite,The ratio of recurring revenue inflows (New MRR and Expansion MRR) against recurring revenue outflows (Churn MRR and Contraction MRR).,({NewMRRₜ} + {ExpMRRₜ}) / ({ChurnMRRₜ} + {CtrctnMRRₜ}),Month,,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,Billing & Invoicing; ERP; CRM,Finance,Sales; Marketing; Customer Success
Cost Per Lead,$,CPL,MktSpend; MktGenProsp,Marketing-Generated,Composite,The ratio of Marketing Spend against Marketing-Generated Prospects.,{MktSpendₜ} / {MktGenProspₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials; Demand Generation,Capital Efficiency,CRM; Marketing Automation,Marketing,Sales Development
Sales Spend,$,SalesSpend,,Opportunities,Atomic,The sum of fully-loaded spend on sales activities on closing Sales Opportunities in the period. Sales Spend is inclusive of both variable commission costs and fixed costs (software and salaries).,,"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Acquisition Spend,Accounting/Bookkeeping; ERP; CRM,Sales,Finance
Sales Dev Spend,$,SalesDevSpend,,Sales Qualified Leads,Atomic,"The sum of fully-loaded spend on sales activities on converting Prospects into Sales Qualified Leads in the period. Sales Development Spend is inclusive of both variable commission costs and fixed costs (software and salaries), and includes spend on all ""reps"" that work on this conversion (e.g. SDRs, MDRs, BDRs, or even AEs).",,"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Acquisition Spend,Accounting/Bookkeeping; ERP; CRM,Sales Development,Finance
Cost Per Opportunity,$,CPO,SalesDevSpend; OpenNewBizOpps,,Composite,The ratio of Sales Development Spend against Opened New Business Opportunities.,{SalesDevSpendₜ} / {OpenNewBizOppsₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials; Evaluation,Capital Efficiency; Acquisition Spend,CRM,Sales Development,Finance
Cost Per Win,$,CPW,SalesSpend; NewCust,,Composite,The ratio of Sales Spend against New Customers.,{SalesSpendₜ} / {NewCustₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency; Acquisition Spend,CRM,Sales,Finance
Trending CAC,$,TrendCAC,CPL; SALRt; CPO; SQLRt; CostPerWin,,Composite,"The expected cost to acquire a customer assuming that current trends in Cost Per Lead, Cost Per Opportunity, and Cost Per Win persist.",({CPLₜ} * 1/{SALRtₜ}) + ({CPOₜ} * 1/{SQLRtₜ}) + {CostPerWinₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency; Acquisition Spend,CRM; ERP,Finance,Sales; Marketing
CAC,$,CAC,SalesMktSpend; NewCust,,Composite,The ratio of Sales and Marketing Spend against New Customers.,{SalesMktSpendₜ} / {NewCustₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency; Acquisition Spend,CRM; ERP,Finance,Sales; Marketing
New MRR Acquisition Cost,$,NewMRRAC,SalesMktSpend; NewMRR,,Composite,The ratio of Sales and Marketing Spend against New MRR.,{SalesMktSpendₜ} / {NewMRRₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency; Acquisition Spend,CRM; ERP,Marketing,Finance
